,actively_hiring,Type_of_job,company_name,location,salary,experience
243,1.0,Sales Support Trainee,Pereyan LLP,Bangalore,₹  3 - 3.1 LPA,0-2 years
244,,Digital Marketing Executive,Legal Drafter Services,Work from home,₹  2 - 3 LPA,0-2 years
245,1.0,Corporate Sales Executive,The Learn Cloud,Work from home,₹  3 - 4.8 LPA,0-2 years
246,1.0,Sales Telecaller,StudyMonk,Work from home,₹  3 - 4 LPA,0-2 years
247,1.0,Google Analytics Manager,Chalk Digital,Work from home,₹  2 - 6 LPA,0-5 years
248,1.0,Customer Service Representative (Non-Voice Process),Astrotalk,Work from home,₹  2 - 2.4 LPA,0-2 years
249,1.0,Entrepreneurship Professor,WhizJuniors,Work from home,₹  3 - 4 LPA,0-2 years
250,1.0,Site Supervisor - Electrical,SALUJA CAD CONSULTANCY,Gurgaon,₹  2 - 3 LPA,0-2 years
251,1.0,Computer Operator,SALUJA CAD CONSULTANCY,Gurgaon,₹  2 - 3 LPA,0-2 years
252,1.0,Business Development Associate,Yog Yatra With Shashi Yoga Studio,Bangalore,₹  2 - 2.5 LPA,0-2 years
253,1.0,Tele-Sales Representative,Stirring Minds,Delhi,₹  2 - 2.3 LPA,0-2 years
254,1.0,Business Development Associate,Stirring Minds,Delhi,₹  2.1 - 2.3 LPA,0-2 years
255,1.0,AutoCad Electrician Designing,SALUJA CAD CONSULTANCY,Gurgaon,₹  2 - 3 LPA,0-2 years
256,1.0,Client Acquisition Executive,Stirring Minds,Delhi,₹  2.1 LPA,0-2 years
257,1.0,Admission Counselor,KRS Educreations Private Limited,Greater Noida,₹  2 - 3 LPA,0-2 years
258,1.0,Financial Sales Operator,WeMakeScholars,Chennai,₹  3 - 3.7 LPA,0-2 years
259,1.0,Merchandiser,Peppermint Communications Private Limited,Bhiwandi,₹  2 - 3 LPA,0-2 years
260,1.0,Client Service Executive,Peppermint Communications Private Limited,Bhiwandi,₹  2 - 3 LPA,0-2 years
261,1.0,Stock Researcher,TheCoinRepublic,Indore,₹  2 - 4 LPA,0-2 years
262,1.0,Sales Associate,OckyPocky,Delhi,₹  3 - 3.5 LPA,0-2 years
263,1.0,Accountant,YADNYA,Thane,₹  2.5 - 3 LPA,0-2 years
264,1.0,Business Development Executive,Ostello India Private Limited,Delhi,₹  3 - 4 LPA,0-2 years
265,1.0,Digital Marketing Executive,Fusion Beauty,Delhi,₹  2.16 - 3.6 LPA,0-2 years
266,1.0,Lofi Music Playlist Curator,Feardog Music,Work from home,₹  2 LPA,0-2 years
267,1.0,Operations Manager,Fusion Beauty,Faridabad,₹  2 - 5 LPA,0-5 years
268,1.0,Email Writer,The Links Guy,Work from home,₹  3.5 - 6.5 LPA,0-5 years
